WBAN;YearMonthDay;Tmax;Tmin;Tavg;Depart;DewPoint;WetBulb;Heat;Cool;Sunrise;Sunset;CodeSum;Depth;Water1;SnowFall;PrecipTotal;StnPressure;SeaLevel;ResultSpeed;ResultDir;AvgSpeed;Max5Speed;Max5Dir;Max2Speed;Max2Dir
14819;20070515;82;56;69;M;56;61;0;4;-;-;TSRA RA BR;M;M;M;0.60;29.19;29.83;8.1;25;10.8;26;270;22;260
14819;20070516;64;45;55;M;42;47;10;0;-;-;RA BR;M;M;M;0.07;29.39;30.03;8.0;36;11.8;30;20;24;20
14819;20070517;61;44;53;M;32;43;12;0;-;-; ;M;M;M;0.00;29.62;30.27;11.7;1;12.2;28;20;23;10
14819;20070518;70;43;57;M;31;47;8;0;-;-; ;M;M;M;0.00;29.60;M;3.4;22;5.5;16;200;15;240
14819;20070519;80;56;68;M;37;53;0;3;-;-; ;M;M;M;0.00;29.41;30.08;11.1;23;11.4;29;240;20;240
14819;20070520;69;44;57;M;41;45;8;0;-;-;TSRA RA;M;M;M;0.11;29.44;30.11;8.6;3;9.7;22;40;18;40
14819;20070521;79;46;63;M;50;57;2;0;-;-; ;M;M;M;0.00;29.39;30.05;6.3;10;7.8;21;80;18;90
14819;20070522;87;60;74;M;44;58;0;9;-;-; ;M;M;M;0.00;29.41;30.05;10.1;16;10.6;26;180;21;150
14819;20070523;89;66;78;M;48;61;0;13;-;-; ;M;M;M;0.00;29.47;30.10;10.9;18;11.2;31;190;24;220
14819;20070524;88;66;77;M;53;63;0;12;-;-;RA HZ;M;M;M;  T;29.47;30.10;13.8;20;15.2;40;190;32;190
14819;20070525;66;57;62;M;46;53;3;0;-;-;RA BR;M;M;M;0.09;29.57;30.23;4.5;5;8.2;17;50;14;90
14819;20070526;70;50;60;M;55;57;5;0;-;-;TSRA RA BR;M;M;M;0.28;29.42;30.10;2.5;15;7.8;17;360;15;10
14819;20070527;75;59;67;M;49;57;0;2;-;-;RA BR;M;M;M;0.08;29.41;30.05;8.2;24;9.2;22;240;17;250
14819;20070528;76;54;65;M;49;57;0;0;-;-; ;M;M;M;0.00;29.49;30.14;4.7;8;5.2;16;80;14;80
14819;20070529;88;65;77;M;59;66;0;12;-;-;BR HZ;M;M;M;0.00;29.44;30.09;5.8;16;7.4;21;150;16;190
14819;20070530;89;70;80;M;57;66;0;15;-;-;HZ;M;M;M;0.00;29.38;30.03;9.7;17;10.1;25;180;21;190
14819;20070531;80;68;74;M;61;66;0;9;-;-;RA BR;M;M;M;0.53;29.34;29.99;8.9;18;9.2;26;160;21;180
94846;20070501;83;50;67;14;51;56;0;2;448;1849; ;0;M;0.0;0.00;29.10;29.82;1.7;27;9.2;28;30;22;290
94846;20070502;59;42;51;-3;42;47;14;0;447;1850;BR;0;M;0.0;0.00;29.38;30.09;13.1;4;13.4;32;70;21;50
94846;20070503;66;46;56;2;40;48;9;0;446;1851; ;0;M;0.0;0.00;29.39;30.12;11.6;7;11.9;29;80;20;60
94846;20070504;66;49;58;4;41;50;7;0;444;1852;RA;0;M;0.0;  T;29.31;30.05;10.4;8;10.8;29;90;21;100
94846;20070505;66;53;60;5;38;49;5;0;443;1853; ;0;M;0.0;  T;29.40;30.10;11.7;7;12.0;26;70;18;80
94846;20070506;68;49;59;4;30;46;6;0;442;1855; ;0;M;0.0;0.00;29.57;30.29;14.4;11;15.0;35;110;29;110
